Gene	HC11	HC12	HC13	HC14	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C81	C82
REV1	11	11	1	28	30	20	36	13	23	22	17	55	26	9	19	5
AFF3	3	6	1	7	12	8	2	1	2	5	5	19	1	9	3	0
LONRF2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
CHST10	6	3	0	2	3	9	5	8	4	11	8	1	1	3	1	1
NMS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDCL3	5	2	2	7	14	4	2	18	1	6	11	0	1	2	2	10
NPAS2	0	0	0	4	2	0	3	6	0	1	2	6	0	0	1	0
RPL31	6210	3828	1737	5974	4516	2660	9010	3587	4885	7748	4934	9994	1594	3581	3045	3660
TBC1D8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNOT11	157	197	331	370	323	261	582	589	369	931	877	2104	63	269	272	267
RNF149	175	204	90	220	649	229	449	497	450	501	227	624	246	545	398	535
CREG2	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0
RFX8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
MAP4K4	180	141	618	336	699	308	344	360	245	577	520	958	49	372	100	220
FLJ20373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL1R2	10	2	6	24	34	14	285	212	5780	1494	23	3191	169	6679	2304	21
IL1R1	1	1	1	4	19	22	7	11	8	21	1	39	2	52	35	1
IL1RL2	3	0	0	0	7	1	2	0	2	5	0	4	0	0	0	0
IL1RL1	0	0	0	5	7	9	0	3	0	0	1	9	0	3	6	2
IL18R1	2	4	0	8	18	6	13	24	11	9	9	6	2	37	9	3
IL18RAP	7	13	10	21	49	40	32	41	27	12	27	192	1	147	45	6
SLC9A4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SLC9A2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MFSD9	0	4	3	10	32	16	11	10	10	18	12	33	0	52	11	1
TMEM182	0	3	1	0	3	0	4	5	0	0	6	2	0	2	0	0
POU3F3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPS9	104	78	68	75	52	54	174	71	79	108	111	132	4	36	30	57
GPR45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGFBRAP1	41	32	31	55	61	55	72	55	38	90	122	54	31	80	58	39
C2orf49	14	13	2	18	15	22	14	17	11	15	23	5	10	22	15	10
FHL2	10	4	1	2	14	2	3	7	1	1	3	2	3	5	2	1
NCK2	43	34	22	58	170	33	76	103	30	51	57	68	26	64	28	14
C2orf40	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0
UXS1	95	101	120	153	103	87	154	97	135	234	213	472	23	79	112	73
RGPD3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ST6GAL2	0	3	4	2	0	0	0	1	0	0	0	0	1	0	0	0
RGPD4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC5A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SULT1C2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
SULT1C4	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0
GCC2	14	13	11	81	162	104	29	94	10	46	75	72	14	32	7	7
LIMS1	66	59	46	203	293	240	261	316	126	431	312	392	166	344	213	126
RANBP2	31	14	21	63	98	93	119	128	49	100	180	106	8	55	36	51
CCDC138	10	9	2	10	7	3	6	4	2	12	10	3	0	5	2	8
EDAR	2	0	0	7	2	0	0	4	1	2	0	0	0	0	0	0
SH3RF3	0	2	2	0	3	0	2	1	3	4	5	9	0	5	0	3
10-Sep	1	0	3	2	2	1	3	0	6	8	0	16	0	11	1	2
SOWAHC	3	5	1	2	17	7	12	12	1	21	7	23	2	10	5	4
RGPD5	2	3	0	1	4	0	3	6	2	1	1	0	1	0	4	1
LIMS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MALL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPHP1	0	3	9	0	0	1	0	1	0	1	0	0	1	0	0	0
LIMS3L	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0
RGPD6	2	1	0	0	0	1	2	0	0	0	0	0	0	1	1	0
BUB1	0	0	0	0	3	2	5	11	4	19	4	7	0	6	14	6
ACOXL	0	0	2	0	0	0	1	0	1	4	3	0	0	2	0	0
BCL2L11	45	52	40	100	113	81	193	147	83	168	95	156	13	96	51	77
ANAPC1	7	0	2	13	9	24	24	36	8	14	36	14	5	10	2	8
MERTK	2	5	4	5	6	8	21	9	31	41	29	24	25	13	41	24
TMEM87B	36	33	6	58	78	77	91	110	63	95	122	95	26	82	46	65
FBLN7	6	5	0	1	1	6	1	0	0	10	13	4	0	0	0	5
ZC3H8	5	6	27	61	29	42	27	47	29	52	52	73	7	10	9	17
ZC3H6	10	7	1	11	22	7	30	9	4	15	25	13	2	17	18	12
RGPD8	4	0	0	0	5	0	0	0	0	2	1	1	0	0	0	1
TTL	49	54	51	93	42	46	121	100	80	137	113	154	43	87	78	79
POLR1B	2	3	3	12	11	7	16	16	6	33	10	9	0	6	11	14
CHCHD5	13	14	8	12	19	7	17	15	24	20	13	5	14	11	4	25
SLC20A1	430	465	44	214	253	202	468	332	188	306	366	532	227	202	134	585
NT5DC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CKAP2L	0	0	0	2	6	9	22	5	8	5	1	38	0	15	14	1
IL1A	0	0	3	0	88	188	1	2	1	0	102	75	0	0	6	23
IL1B	89	66	301	177	7037	18226	1931	690	511	672	33990	40608	451	51	4396	36705
IL37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL36G	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3
IL36B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL36RN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL1F10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL1RN	38	25	8	30	952	588	176	129	31	200	2923	2863	32	53	69	702
PSD4	98	60	115	221	461	99	176	255	101	385	391	458	20	51	93	66
PAX8	0	0	0	1	0	5	1	3	0	4	0	2	0	4	3	0
CBWD2	2	3	2	16	14	35	7	31	10	27	31	42	3	6	4	5
FOXD4L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RABL2A	34	18	5	20	24	40	84	29	25	61	42	29	1	11	16	23
SLC35F5	3	1	5	5	26	15	10	16	2	18	14	6	1	3	5	5
ACTR3	147	133	55	220	465	356	482	518	182	595	519	597	85	341	366	279
DPP10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX18	13	20	8	55	73	41	48	94	36	92	123	149	3	29	20	17
CCDC93	21	14	13	49	74	100	61	82	47	95	112	133	9	65	35	33
INSIG2	9	3	0	9	18	5	7	8	4	7	12	48	0	12	12	2
EN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MARCO	15	11	46	27	126	34	44	72	112	127	39	28	9	40	42	56
C1QL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STEAP3	2	2	2	2	1	1	5	0	1	3	2	1	0	8	1	2
C2orf76	0	1	0	4	8	0	5	4	0	4	2	5	0	3	6	1
DBI	217	159	505	408	1218	291	538	698	414	1032	762	2860	118	445	341	341
TMEM37	0	0	0	0	0	0	0	0	0	0	7	350	0	0	0	0
SCTR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM177	9	1	6	9	3	4	10	5	3	2	8	96	1	4	4	2
PTPN4	38	45	42	60	123	85	59	128	16	42	187	102	11	12	8	15
EPB41L5	1	2	1	0	14	8	1	9	0	3	3	12	3	2	0	3
TMEM185B	11	6	9	23	65	45	46	41	29	54	43	133	1	53	48	23
RALB	79	63	86	124	119	79	222	233	217	326	228	613	17	360	291	141
INHBB	0	0	0	0	5	1	0	0	1	2	0	19	0	8	2	1
LINC01101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLI2	0	0	3	0	0	0	1	0	0	0	0	1	0	0	1	0
TFCP2L1	12	3	0	12	14	2	4	0	14	16	17	34	1	4	0	2
CLASP1	19	9	9	43	90	53	21	88	59	125	190	189	2	81	32	22
NIFK	3	3	12	45	46	22	28	32	17	31	31	38	2	10	9	7
TSN	178	170	50	155	99	120	282	229	125	197	165	183	141	148	177	165
CNTNAP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GYPC	382	238	372	249	487	197	394	287	318	529	467	539	73	390	280	299
AC114783.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BIN1	305	268	60	113	206	184	336	169	128	207	396	348	80	70	37	170
CYP27C1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0
ERCC3	33	62	36	109	47	88	120	102	61	161	182	111	47	68	49	115
MAP3K2	144	96	22	198	352	250	310	250	124	305	261	509	38	248	161	160
PROC	0	0	0	1	0	0	0	0	0	0	1	6	0	0	15	0
IWS1	7	18	14	37	74	83	98	104	36	90	118	102	10	65	40	20
MYO7B	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0
LIMS2	9	11	0	4	5	6	10	3	6	14	26	13	0	1	0	5
GPR17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
WDR33	68	55	66	106	204	103	194	145	108	216	167	156	10	104	53	49
SFT2D3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLR2D	34	43	11	27	24	7	66	23	29	24	32	60	20	17	23	18
AMMECR1L	51	40	35	31	64	47	93	67	49	101	103	64	15	55	39	30
SAP130	32	41	20	41	50	17	63	59	36	82	62	97	9	59	27	47
UGGT1	144	119	40	117	108	67	187	142	76	143	109	177	68	105	108	132
HS6ST1	10	6	8	10	57	6	18	16	5	20	13	14	0	15	10	9
RAB6C	2	1	0	0	0	0	1	3	0	1	1	1	0	0	0	1
POTEF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC74B	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
SMPD4	340	443	18	423	584	248	990	282	452	807	716	824	4	395	45	464
MZT2B	148	108	62	79	195	72	252	138	106	228	150	259	43	205	277	140
TUBA3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC115	52	38	117	172	145	129	123	248	85	182	148	120	11	96	66	55
IMP4	142	86	29	37	48	68	143	107	88	188	113	182	71	81	49	71
PTPN18	546	425	224	240	327	191	702	492	366	546	396	257	132	353	367	338
POTEI	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
CFC1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC013269.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC140481.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POTEJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMER3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF4	0	0	0	2	0	0	0	0	2	3	0	0	0	0	0	0
FAM168B	24	25	11	84	150	70	76	122	34	94	101	74	5	51	44	44
PLEKHB2	55	55	48	101	344	153	209	192	105	307	242	215	47	154	124	104
POTEE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CYP4F31P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MZT2A	41	23	16	18	86	22	80	28	15	58	58	107	11	47	80	21
TUBA3D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC74A	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0
C2orf27A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
C2orf27B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD30BL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR39	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
LYPD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCKAP5	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
AC011755.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGAT5	170	135	35	90	144	151	227	160	136	176	275	366	50	268	221	87
TMEM163	2	2	2	1	1	0	0	3	0	1	1	0	0	4	0	0
ACMSD	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CCNT2	18	23	8	57	85	79	96	100	58	89	92	106	12	30	36	24
MAP3K19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB3GAP1	61	40	36	78	187	265	119	199	69	302	217	350	51	165	108	97
ZRANB3	3	5	0	2	6	3	2	15	0	2	5	6	2	1	2	4
R3HDM1	11	3	4	47	40	25	39	35	19	60	70	60	2	15	17	8
UBXN4	30	21	24	194	133	175	166	153	86	166	172	172	14	149	72	52
LCT	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MCM6	9	5	6	19	36	33	53	35	4	25	31	45	4	32	29	36
DARS	228	218	42	217	143	265	395	277	143	441	364	620	48	337	247	163
CXCR4	861	786	1768	2471	3765	2947	3726	3266	1473	2591	2669	2959	247	2123	787	655
THSD7B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNMT	36	23	11	29	105	49	85	62	67	148	63	138	24	51	49	67
SPOPL	23	25	42	108	279	170	145	161	143	198	125	299	19	134	84	40
NXPH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRP1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KYNU	5	7	5	77	99	62	23	55	42	212	53	41	2	34	40	24
ARHGAP15	23	18	7	35	72	42	49	47	32	44	46	40	8	53	39	8
GTDC1	12	9	3	12	27	19	10	8	6	12	11	21	15	17	10	11
ZEB2	91	47	38	122	709	406	282	373	290	534	469	408	76	297	176	255
ACVR2A	7	1	10	20	134	120	49	39	28	44	133	225	3	5	8	36
ORC4	62	40	4	21	62	21	61	31	21	47	43	61	21	41	18	17
MBD5	1	3	3	3	7	3	2	9	0	4	8	2	0	1	1	0
EPC2	9	7	10	18	29	20	32	35	15	43	37	40	1	23	11	5
KIF5C	8	12	5	3	29	20	10	30	9	4	24	84	0	6	2	7
LYPD6B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYPD6	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0
MMADHC	28	25	29	54	110	50	67	114	37	100	75	91	6	105	66	69
RND3	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
AC023469.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM43	5	5	13	10	22	6	7	4	4	7	12	6	1	4	1	13
NMI	13	16	14	64	147	130	69	147	45	116	115	87	11	102	37	44
TNFAIP6	1	2	0	0	205	160	11	35	4	15	71	84	0	26	3	55
RIF1	30	22	10	52	44	53	83	75	41	70	120	79	12	34	55	41
NEB	0	0	0	0	3	2	0	1	0	0	0	2	0	0	0	0
ARL5A	24	16	22	53	216	95	75	134	22	99	130	95	10	49	29	36
CACNB4	0	4	0	2	1	1	3	0	0	2	1	1	0	4	3	0
STAM2	12	6	2	18	42	27	10	41	14	33	24	23	1	34	10	22
FMNL2	4	2	0	14	24	19	0	10	5	7	18	38	0	7	7	0
PRPF40A	70	66	36	235	284	240	193	246	87	228	209	288	19	176	86	96
ARL6IP6	5	19	7	7	36	7	25	25	5	39	18	21	7	20	43	14
RPRM	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
GALNT13	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
KCNJ3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
NR4A2	56	23	20	109	96	414	102	235	78	106	139	378	16	29	34	112
GPD2	21	15	19	43	123	65	72	155	58	133	184	165	8	79	112	28
GALNT5	0	0	4	1	2	1	0	1	1	1	0	24	0	1	0	0
ERMN	4	15	1	16	56	41	25	45	14	16	13	22	6	26	2	41
CYTIP	142	129	126	178	455	252	480	391	250	401	303	334	69	185	156	149
ACVR1C	0	0	0	2	12	9	1	11	0	1	2	1	0	1	0	5
ACVR1	4	6	1	11	11	19	18	22	16	16	13	25	0	22	4	6
UPP2	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0
CCDC148	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
PKP4	11	25	13	25	10	8	41	23	34	50	36	103	6	63	58	13
DAPL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TANC1	0	0	0	0	0	1	4	20	0	1	3	29	0	0	2	2
WDSUB1	0	1	1	1	15	2	5	4	2	5	2	0	0	5	2	4
BAZ2B	34	25	2	43	21	54	88	77	118	205	109	255	24	142	135	47
7-Mar	39	43	12	68	193	96	92	121	60	143	107	124	32	110	93	27
CD302	28	18	8	25	39	23	36	35	32	69	14	35	27	53	47	26
LY75	32	30	4	9	57	18	31	23	9	17	24	13	12	13	21	25
PLA2R1	0	0	3	0	0	0	3	2	0	0	0	0	1	0	1	1
ITGB6	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
RBMS1	77	71	59	282	562	460	202	551	95	445	438	534	80	385	283	195
TANK	6	10	11	41	148	62	28	97	22	44	47	80	9	64	24	33
PSMD14	4	6	2	24	25	20	37	41	10	26	24	48	4	13	13	19
TBR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC4A10	5	3	0	0	0	4	1	6	0	2	4	8	0	0	0	2
DPP4	3	1	0	13	31	30	13	14	6	22	14	43	0	2	0	8
GCG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAP	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IFIH1	3	6	0	18	63	83	22	68	3	24	127	23	2	12	6	11
GCA	64	71	21	73	173	56	196	349	174	515	110	427	81	1240	1128	282
KCNH7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FIGN	0	2	3	2	0	0	0	0	0	0	0	10	0	37	1	0
GRB14	0	0	0	0	0	0	0	3	0	0	1	7	0	1	0	0
COBLL1	10	13	2	15	15	22	33	29	4	18	24	109	19	11	13	14
SLC38A11	1	0	0	1	1	0	3	1	0	4	0	2	0	0	0	0
SCN3A	0	1	0	0	0	0	1	0	1	1	1	2	0	1	0	0
SCN2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSRNP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
GALNT3	3	2	0	5	15	13	5	9	4	6	16	5	0	5	7	10
TTC21B	7	9	4	10	17	12	24	25	4	12	12	25	4	11	12	11
SCN1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN9A	0	0	0	1	0	0	0	1	1	0	0	2	0	1	3	0
SCN7A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XIRP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3GALT1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
STK39	44	36	15	28	54	34	77	70	32	30	120	63	3	11	11	44
CERS6	16	17	21	76	91	83	72	94	54	148	83	106	23	74	46	48
NOSTRIN	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
SPC25	0	0	2	0	6	3	4	6	0	1	3	16	0	0	6	4
G6PC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHRS9	0	1	1	2	27	11	10	45	4	26	14	57	0	127	39	0
LRP2	0	0	1	0	0	0	0	0	0	0	0	3	0	5	0	0
BBS5	0	4	3	3	4	0	4	1	2	1	4	8	0	0	2	5
RP11-724O16.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLHL41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FASTKD1	11	16	8	29	10	20	47	44	34	67	39	33	5	16	14	37
PPIG	42	58	9	108	138	97	79	95	23	89	132	87	3	58	55	56
CCDC173	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
PHOSPHO2	1	8	0	6	5	1	8	3	1	5	2	20	4	3	1	0
KLHL23	8	4	3	1	2	0	6	3	2	8	5	79	0	3	0	9
SSB	0	0	0	12	10	20	2	5	1	3	11	5	0	3	0	0
METTL5	0	0	1	8	8	13	3	9	0	7	8	4	0	1	0	0
UBR3	9	14	9	41	37	45	45	44	27	70	48	79	8	37	26	30
MYO3B	1	3	2	2	0	0	2	10	0	0	3	3	0	0	0	6
LINC01124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP5	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
ERICH2	0	0	0	0	2	0	0	0	0	0	1	13	0	0	0	0
GAD1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GORASP2	69	65	48	63	186	77	172	167	99	194	174	461	26	79	86	74
TLK1	45	44	7	68	72	76	113	125	29	104	113	101	9	78	58	27
METTL8	40	25	11	31	46	35	58	41	18	42	68	53	23	23	19	27
DCAF17	11	7	3	8	8	7	9	13	5	10	13	6	7	4	12	6
CYBRD1	7	1	5	4	9	3	9	4	11	36	9	11	0	29	10	12
DYNC1I2	9	8	6	15	27	14	27	26	13	37	36	33	10	22	12	21
SLC25A12	15	22	2	22	18	13	31	30	10	39	38	19	11	9	2	23
HAT1	20	9	7	33	59	39	83	84	36	64	27	57	10	42	66	77
METAP1D	5	1	1	2	10	1	3	8	1	6	7	6	3	1	0	1
DLX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLX2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
ITGA6	13	23	15	131	77	89	90	144	19	151	85	162	11	55	38	21
PDK1	50	54	25	141	118	161	190	178	43	173	179	415	25	93	96	47
RAPGEF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLTK	35	23	10	50	62	57	43	43	74	163	67	160	18	89	62	54
CDCA7	3	3	6	20	8	9	50	11	15	34	21	24	4	26	21	97
SP3	52	76	29	104	243	192	193	149	99	196	159	183	36	145	82	63
OLA1	16	12	7	46	41	30	30	27	20	34	32	132	0	25	11	6
SP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIR1	27	27	31	139	129	163	56	101	56	115	101	277	10	63	32	57
SCRN3	1	3	2	6	13	11	16	18	5	13	10	25	0	8	3	5
GPR155	16	45	6	58	61	32	46	36	15	40	42	62	9	7	4	24
WIPF1	199	172	156	334	700	432	360	446	303	632	961	927	42	187	135	172
CHRNA1	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0
CHN1	1	0	0	3	4	5	3	14	0	1	0	24	0	0	0	0
ATF2	9	5	0	9	53	13	20	33	8	20	16	43	3	13	1	3
ATP5G3	171	133	441	517	1079	521	849	944	523	1234	834	1553	84	413	576	348
KIAA1715	25	47	13	78	87	65	50	43	35	80	75	237	17	313	134	78
EVX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXD13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXD12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXD10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXD9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXD8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXD3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HOXD4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTX2	0	5	1	13	24	9	29	24	5	17	20	31	1	16	5	16
HNRNPA3	204	136	244	376	530	356	602	621	230	484	574	673	66	282	260	307
NFE2L2	42	85	3	79	169	96	70	115	54	70	89	127	47	40	71	65
AGPS	16	7	6	29	49	28	42	62	27	84	68	104	14	55	67	21
TTC30B	0	6	3	0	3	1	1	8	1	8	6	2	0	3	0	0
TTC30A	1	0	1	1	3	0	2	0	0	0	0	1	0	0	0	0
PDE11A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RBM45	25	19	41	17	15	20	29	53	29	47	45	27	6	26	22	30
OSBPL6	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
PRKRA	24	13	10	32	49	34	53	29	8	45	53	49	20	26	32	18
DFNB59	1	2	0	2	2	1	4	1	1	2	5	3	0	0	0	0
FKBP7	1	0	0	0	0	1	0	1	0	2	0	0	0	0	0	7
PLEKHA3	29	23	37	51	100	74	55	94	28	71	108	100	7	51	38	33
TTN	0	0	0	2	3	3	2	2	0	3	1	16	0	2	0	0
CCDC141	0	1	6	1	1	2	0	4	0	0	5	11	1	0	0	5
SESTD1	2	6	19	67	81	86	27	68	34	99	64	125	6	65	35	26
ZNF385B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
CWC22	3	4	3	8	14	19	13	8	4	10	17	2	2	5	6	2
UBE2E3	81	62	62	127	110	139	173	215	185	327	227	364	11	146	122	84
ITGA4	14	4	5	13	21	9	8	28	15	30	16	12	1	5	4	6
CERKL	203	158	97	193	243	191	229	229	91	219	250	120	71	119	47	246
NEUROD1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
SSFA2	39	30	3	52	64	62	68	104	46	60	43	62	36	81	128	74
PPP1R1C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDE1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAJC10	65	43	18	71	87	71	129	133	74	173	103	176	29	45	23	58
FRZB	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NCKAP1	0	0	0	2	3	2	0	2	0	3	17	44	0	1	3	1
DUSP19	0	1	7	0	0	0	0	0	0	2	1	1	1	0	0	7
NUP35	3	6	0	8	9	1	13	11	6	16	30	25	1	5	4	9
ZNF804A	0	1	0	0	0	0	3	2	0	3	1	0	0	10	0	1
FSIP2	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0
ZC3H15	72	63	36	169	217	202	84	253	21	165	234	276	116	203	57	134
ITGAV	6	6	0	7	13	14	25	18	4	19	23	216	4	14	11	9
FAM171B	0	3	0	0	2	3	0	0	1	1	0	22	0	1	0	0
ZSWIM2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CALCRL	0	0	0	0	1	0	1	1	0	4	0	0	3	7	1	0
TFPI	0	0	1	0	3	0	0	1	5	1	0	96	0	2	1	0
GULP1	0	0	2	0	2	0	9	0	0	1	1	40	0	0	0	1
DIRC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL3A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL5A2	0	0	0	0	0	0	0	0	3	1	1	212	0	1	0	0
WDR75	77	104	10	54	32	52	108	81	55	67	94	70	96	62	67	145
SLC40A1	15	15	2	20	22	13	15	42	11	39	16	50	16	68	60	35
ASNSD1	9	11	6	34	35	15	37	16	16	17	22	61	6	23	11	11
ANKAR	0	1	0	1	3	0	3	0	1	1	1	1	0	0	4	0
OSGEPL1	10	25	4	20	22	16	16	13	3	19	42	20	11	10	4	0
ORMDL1	122	81	232	262	334	198	581	372	388	418	334	369	62	242	239	170
PMS1	3	7	4	17	13	11	34	32	11	22	31	25	28	10	11	4
C2orf88	6	4	3	16	15	10	31	21	7	24	15	16	5	10	22	6
MSTN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIBCH	35	21	27	23	40	21	76	58	33	73	86	74	27	24	19	33
INPP1	0	0	0	7	59	31	3	18	14	40	27	49	0	38	10	1
